word_freq_make,word_freq_address,word_freq_all,word_freq_3d,word_freq_our,spam
0.05,0,0.1,0,0.16,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.51,0,0.51,1
0,0,0.87,0,0.87,0
0,0,0,0,0,0
2.27,0,0,0,0,0
0,0,1.78,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,1.11,1.11,0,1.11,1
0,0,0.66,0,0.33,1
0,0,0,0,0.65,1
0,0,0,0,0,0
0,0,0.77,0,0,0
0,0,0,0,4.25,1
0,0,0.09,0,0,0
0,0,0,0,0,0
0,0,0,0,6.25,1
0,0,0,0,0,1
0,0,0,0,0,0
0,1.32,0,0,0,1
0,0.36,0.72,0,1.44,1
0,0,0,0,0,0
0.35,0,0.35,0,0,0
0,0,0,0,0,0
0,0.78,2.34,0,0.78,1
0,0,0.19,0,0,1
0.22,0.44,0,0,1.33,1
0.09,0.49,0.59,0,0.39,1
0,0.23,0,0,0.23,1
0,0,0.34,0,0.34,0
0.34,0.05,0.58,0,0.63,1
0,0,0.37,0,0.28,0
0.11,0,0.33,0,0,0
0,0,0.74,0,0,0
0,0,1.26,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.09,0
0,0,0,0,0,0
0,0,0,0,0.51,0
0,0,1.58,0,1.58,1
0.07,0.07,0.07,0,0.14,0
1.16,0,0,0,0,0
0,0.17,0,0,0,1
0,0,1.47,0,0,0
0,0,0.51,0,0.17,0
0,0,0,0,1.49,1
0,0.34,1.02,0,0.68,1
0.18,0.14,0.25,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0.27,0,0,0
0.19,0.19,0.29,0,1.07,1
0.43,0,1.31,0,0,0
1.05,0,0.7,0,1.05,1
0.23,0,0.23,0,0.69,0
0,0.2,0.61,0,1.03,1
0.17,0,0.17,0.17,1.44,1
0,0,0.44,0,0.88,1
0,0,0,0,0,0
0,0,0,0,0,0
0.46,0,0.46,0,0,1
0,0,0,0,0,0
0,0,1.26,0,0,0
0,0,0,0,0,1
0,0,0,0,0.82,1
0,0,1.2,0,0,1
0,0,0,0,0,0
0,0,0.11,0,0.11,0
0,0,0,0,0,0
0,1.57,1.18,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0.52,1
0.59,0,0.35,0,1.66,1
0,0.33,0.33,0,1.65,1
0,14.28,0,0,0,0
0,1.72,0,0,0,1
0,0,0.32,0,0.64,1
0,0,0.61,0,0,1
0,0,0,0,0,0
0.12,0.12,0.24,0,1.34,1
0,0,0.33,0,0.33,0
0.12,0.19,0.7,0,0.44,1
0,0,1.13,0,0.37,0
0,0,1.6,0,0,0
0,0,1.04,0,1.04,1
0.08,0.08,0.76,0,0.85,1
0,4.1,0,0,1.36,0
0,0.28,0.84,0,0.28,1
0,0,0,0,0,0
0,0,0,0,1.28,1
0.32,0.28,0.57,0,0.12,1
0,0,0,0,0,0
0,0,1.96,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
